# LALSimulation RG SLy4 EoS from COMPOSE
        n(fm-3)             rho(MeVfm-3)              P(MeVfm-3)
1.062705771359251540e-11 9.887344827923220497e-09 1.228658652088297652e-14
1.064151972414888034e-11 9.900800206635670621e-09 1.229257972485154023e-14
1.065631503277062346e-11 9.914565684118718186e-09 1.229857585221080272e-14
1.067145132079638818e-11 9.928648407049507331e-09 1.230457490438691879e-14
1.068693644659241782e-11 9.943055686810747061e-09 1.231057688280648659e-14
1.070277844963245118e-11 9.957795003286609991e-09 1.231658178889687893e-14
1.071898555467158208e-11 9.972874008746057461e-09 1.232258962408607920e-14
1.073556617601634353e-11 9.988300531815725153e-09 1.232860038980302846e-14
1.075252892189320838e-11 1.000408258154434121e-08 1.233461408747710797e-14
1.076988259891773962e-11 1.002022835156080269e-08 1.234063071853847995e-14
1.078763621666676976e-11 1.003674622432809912e-08 1.234665028441801029e-14
1.080579899235592631e-11 1.005364477549527347e-08 1.235267278654715809e-14
1.082438035562497980e-11 1.007093277834967217e-08 1.235869822635836381e-14
1.084338995343346060e-11 1.008861920837181020e-08 1.236472660528449231e-14
1.086283765506911147e-11 1.010671324789519379e-08 1.237075792475918942e-14
1.088296720936677114e-11 1.012544168329586824e-08 1.242656388858491824e-14
1.090359158820565625e-11 1.014463050143330931e-08 1.248917560683773346e-14
1.092469128584893165e-11 1.016426155379103729e-08 1.255210279663173203e-14
1.094627725670969948e-11 1.018434503229980103e-08 1.261534704748252783e-14
1.096836070766145581e-11 1.020489136377822537e-08 1.267890995691423328e-14
1.099095310385637570e-11 1.022591121534611763e-08 1.274279313050048961e-14
1.101406617467774848e-11 1.024741549996257419e-08 1.280699818190432953e-14
1.103771191982955383e-11 1.026941538209171931e-08 1.287152673291961299e-14
1.106190261556641128e-11 1.029192228349897480e-08 1.293638041351147204e-14
1.108665082106707637e-11 1.031494788918097223e-08 1.300156086185774025e-14
1.111196938495483554e-11 1.033850415343206242e-08 1.306706972439026377e-14
1.113787145196819923e-11 1.036260330605071450e-08 1.313290865583650267e-14
1.116437046978528407e-11 1.038725785868888145e-08 1.319907931926133434e-14
1.119148019600550807e-11 1.041248061134773368e-08 1.326558338610907441e-14
1.121921470529217241e-11 1.043828465902307751e-08 1.333242253624551370e-14
1.124758839667966837e-11 1.046468339850394433e-08 1.339959845800082425e-14
1.127661600104907199e-11 1.049169053532786440e-08 1.346711284821156784e-14
1.130631258877603635e-11 1.051932009089638855e-08 1.353496741226407220e-14
1.133669357755493945e-11 1.054758640975467137e-08 1.360316386413722681e-14
1.136777474040335593e-11 1.057650416703878336e-08 1.367170392644606424e-14
1.139957221385097227e-11 1.060608837609462178e-08 1.374058933048476885e-14
1.143210250631728008e-11 1.063635439627248980e-08 1.380982181627093983e-14
1.146538250668230627e-11 1.066731794090125655e-08 1.387940313258925616e-14
1.149942949305487618e-11 1.069899508544630188e-08 1.394933503703571758e-14
1.153426114174295916e-11 1.073140227585548247e-08 1.401961929606204161e-14
1.156989553643075925e-11 1.076455633709745562e-08 1.409025768502027524e-14
1.160635117756726851e-11 1.079847448189671970e-08 1.416125198820765275e-14
1.164364699197123942e-11 1.083317431967007316e-08 1.423260399891164435e-14
1.168180234265748152e-11 1.086867386566891409e-08 1.430431551945529046e-14
1.172083703888964715e-11 1.090499155033232030e-08 1.437638836124268429e-14
1.176077134646467141e-11 1.094214622885563146e-08 1.444882434480476045e-14
1.180162599823426563e-11 1.098015719097959727e-08 1.452162529984526190e-14
1.184370676104244634e-11 1.101930892927195167e-08 1.463753244632057188e-14
1.188678351219406553e-11 1.105938733109342244e-08 1.475828908306901012e-14
1.193085302972252752e-11 1.110038939797092118e-08 1.488004193727235007e-14
1.197593819337277245e-11 1.114233641710895163e-08 1.500279922751988924e-14
1.202206241018672030e-11 1.118525016630660026e-08 1.512656924020278471e-14
1.206924962665563984e-11 1.122915292526401655e-08 1.525136033007321036e-14
1.211752434115248741e-11 1.127406748714941558e-08 1.537718092080816844e-14
1.216691161665087514e-11 1.132001717043275522e-08 1.550403950557844121e-14
1.221743709373708240e-11 1.136702583099202408e-08 1.563194464762169531e-14
1.226912700392198007e-11 1.141511787449860687e-08 1.576090498082041699e-14
1.232200818325977250e-11 1.146431826908810318e-08 1.589092921028499394e-14
1.237610808628054309e-11 1.151465255832308814e-08 1.602202611294120838e-14
1.243145480024396562e-11 1.156614687445469364e-08 1.615420453812247915e-14
1.248807705972144353e-11 1.161882795198977826e-08 1.628747340816760998e-14
1.254600426151438329e-11 1.167272314157079460e-08 1.642184171902285132e-14
1.260526647991621150e-11 1.172786042417552241e-08 1.655731854084898244e-14
1.266589448232621188e-11 1.178426842564407240e-08 1.669391301863394395e-14
1.272791974522310023e-11 1.184197643154066825e-08 1.683163437280991636e-14
